gx(degree/s);gy(degree/s);gz(degree/s);inclinacionX;inclinacionY;time(s)
-0.0611;0.0000;-0.1679;12.6798;-43.6192;0.5891
-0.1221;0.0305;-0.1221;-28.0219;-7.7142;0.5918
-0.0763;0.0763;-0.0763;-55.3813;-2.9483;0.5946
-0.1374;0.0916;0.0153;8.4824;-17.1583;0.5971
-0.0916;0.2137;0.0000;6.2085;-22.2418;0.5995
-0.1679;0.1069;0.0916;-20.4104;68.4319;0.6020
-0.0763;-0.0611;0.0763;-32.0506;49.2968;0.6051
0.0305;0.0153;0.0916;5.3860;-8.0940;0.6079
-0.1374;0.0916;-0.0916;-46.3111;-30.4091;0.6105
-0.0458;0.0153;0.0000;-30.4553;-26.3279;0.6133
-0.0153;-0.0305;-0.0458;-6.0772;-27.3071;0.6161
0.0000;-0.0153;-0.1679;-14.7414;-14.7414;0.6187
-0.0458;0.0611;0.0305;1.9844;14.0277;0.6214
0.0458;-0.0611;0.0305;45.4947;31.0027;0.6243
-0.0305;-0.0153;0.0153;57.9946;-25.0873;0.6269
-0.0611;-0.0153;-0.0153;-17.5484;-17.5484;0.6291
-0.0153;0.0763;0.0000;-36.3465;-2.4262;0.6314
-0.1069;0.1069;-0.0153;4.9282;-81.0906;0.6340
0.0153;0.0458;0.0458;5.0123;-15.1954;0.6366
0.0305;0.1069;0.1069;10.7434;-68.7574;0.6392
-0.0305;0.1985;-0.0305;28.5430;-38.4012;0.6418
0.1069;0.1527;0.0611;2.4438;-39.7622;0.6446
0.0611;0.1832;-0.0153;-3.8483;-42.1564;0.6470
-0.0305;0.1069;-0.0305;-8.6894;6.5061;0.6492
-0.0916;0.0611;-0.0458;8.2065;32.8482;0.6515
0.0000;0.0153;-0.0916;19.3474;62.0616;0.6543
0.0305;-0.0916;-0.0153;19.5505;-5.7617;0.6567
0.0000;-0.0458;-0.1679;4.8290;-9.6927;0.6593
0.0611;-0.0153;-0.0611;-65.8683;-22.0725;0.6618
0.1679;0.0611;0.0153;-58.7803;-21.5004;0.6646
0.0763;0.1374;0.0458;-27.8634;-6.7098;0.6670
-0.0916;0.0000;0.0153;-58.5929;-15.8497;0.6696
-0.1679;-0.0458;-0.0305;-29.4843;3.3195;0.6724
-0.1679;0.0458;-0.0763;2.2010;-2.2010;0.6751
-0.0611;0.1527;0.0305;-10.4418;-41.6466;0.6777
-0.1527;0.0916;0.1069;-49.7622;-14.7414;0.6800
-0.1221;-0.0305;0.0763;-44.3570;-40.4805;0.6828
-0.1069;0.0763;0.0305;-56.2184;-21.6790;0.6855
-0.0763;0.0305;0.0611;-45.0000;-45.0000;0.6879
0.1221;0.0611;0.0763;-7.7890;-46.2867;0.6902
0.0153;0.1985;0.0305;-24.1212;-65.2514;0.6929
-0.1527;0.1069;0.0458;-14.6541;-10.9374;0.6956
-0.0916;0.1221;0.0763;-58.1543;-13.6485;0.6979
-0.1679;0.2137;0.0458;-57.5275;-22.3115;0.7002
-0.1069;0.1985;-0.0763;-13.8707;-31.8306;0.7030
-0.0305;0.1527;-0.0458;11.0926;-35.2527;0.7055
0.0611;0.1679;-0.0458;-33.4575;-6.3305;0.7079
0.0916;0.0763;0.0000;-18.5952;9.8870;0.7104
-0.0153;0.0153;-0.0305;-28.6906;-5.0076;0.7132
-0.0458;-0.0153;-0.0763;-14.8928;-12.3672;0.7158
-0.0611;-0.0305;-0.0305;-14.5728;-14.5728;0.7183
-0.1069;-0.0153;0.0153;-9.3069;-10.3518;0.7207
-0.0763;0.1374;0.0000;-13.4535;-16.4101;0.7237
-0.0458;-0.0763;-0.0153;-13.4803;-5.1439;0.7265
-0.0305;-0.0763;0.0305;-30.4704;-21.8309;0.7289
-0.0763;0.1374;-0.0611;-20.5234;-15.8239;0.7313
-0.0458;0.1832;-0.0611;-8.3183;-46.3329;0.7341
-0.0305;0.1832;0.0458;4.7595;-84.6771;0.7367
0.0000;0.1832;0.0000;-54.7356;-24.0948;0.7391
-0.0305;0.2290;-0.0153;-61.6968;-10.1421;0.7415
0.0916;0.0916;-0.0458;-47.5112;6.0470;0.7445
0.0000;0.1221;-0.0611;16.6210;5.4712;0.7470
0.2290;-0.0153;0.0611;-47.3650;20.3945;0.7494
0.2137;0.0458;0.0916;-44.3789;-36.0838;0.7521
0.0153;0.1527;0.0458;2.1817;-17.7314;0.7548
-0.0305;0.0458;-0.0458;-29.1216;54.2042;0.7572
0.0153;0.0763;0.0305;-23.4541;63.5770;0.7598
-0.0611;0.1985;0.0763;48.5271;-5.3741;0.7624
-0.1069;0.1679;0.1374;78.0053;2.3358;0.7648
0.0611;0.1832;0.0458;10.0928;31.7174;0.7673
0.1069;0.0458;0.0305;-24.3086;60.3472;0.7702
0.1832;0.0153;0.0305;0.0000;18.4349;0.7733
0.1679;-0.0611;0.0458;-6.8893;64.1108;0.7760
0.1221;0.0611;0.0916;-54.9366;5.4193;0.7785
0.1069;0.0916;0.0305;-41.9048;8.7309;0.7809
0.1374;0.1832;-0.0458;-4.0247;50.5382;0.7839
0.1832;0.3053;-0.0153;30.2421;-47.1039;0.7864
0.1374;0.3206;-0.0916;-20.8740;-33.6601;0.7888
0.0153;0.1985;-0.1374;-7.6039;-56.9352;0.7913
-0.0763;0.1221;-0.0305;0.0000;-65.5560;0.7942
-0.1832;0.0305;-0.0916;-34.0883;-40.2929;0.7966
-0.1527;-0.0611;-0.0458;-29.4962;-7.0706;0.7991
0.0763;0.0458;0.0000;13.4209;16.8657;0.8015
-0.0153;0.1527;0.0458;34.6604;-16.5203;0.8042
-0.1069;0.0916;0.0458;4.7455;-14.3703;0.8065
-0.0153;0.0000;0.0916;-12.4383;-16.6894;0.8087
0.1832;0.0611;0.1221;5.1732;5.1732;0.8109
0.1374;0.2290;0.1221;26.3878;51.0576;0.8137
0.1221;0.1679;0.1069;-29.4862;39.2604;0.8160
0.0153;0.2748;0.0916;-8.3762;79.5085;0.8182
-0.0611;0.2443;0.0916;-26.5651;63.4349;0.8204
-0.0611;0.1985;0.0763;-43.6658;-43.6658;0.8232
0.0458;0.1679;0.0458;-73.3985;-14.8062;0.8256
0.0000;0.1679;0.0153;-19.8252;-67.0071;0.8279
-0.1069;0.1069;0.1069;-27.1973;-57.5431;0.8301
-0.0458;0.1527;0.0916;-67.3314;-10.6349;0.8326
0.0305;0.0458;0.0305;-33.1244;-35.2270;0.8352
-0.0916;0.1679;0.0458;-34.2503;-50.1269;0.8375
-0.0916;0.0763;0.0458;-51.3266;-22.9769;0.8401
-0.0458;0.1374;0.1221;-35.2644;-35.2644;0.8431
-0.0153;0.0763;0.0153;-28.2205;-60.1028;0.8459
0.1069;-0.1069;0.0611;-50.4903;8.8764;0.8485
0.0916;0.0763;0.0458;-31.2301;-11.9695;0.8512
