ax(m/s);ay(m/s);az(m/s);accRMS(m/s);time(s)
-0.1042;-0.3916;9.8459;9.8543;123.0618
-0.1102;-0.3928;9.8555;9.8639;123.3206
-0.1090;-0.3916;9.8447;9.8531;123.5788
-0.0994;-0.4072;9.8459;9.8548;123.8372
-0.1030;-0.4012;9.8459;9.8546;124.0970
-0.1078;-0.4072;9.8555;9.8645;124.3547
-0.0946;-0.4012;9.8603;9.8689;124.6129
-0.1030;-0.4036;9.8603;9.8691;124.8709
-0.1006;-0.3940;9.8399;9.8483;125.1294
-0.1066;-0.3928;9.8471;9.8555;125.3872
-0.0946;-0.4024;9.8483;9.8570;125.6457
-0.1114;-0.3964;9.8423;9.8509;125.9042
-0.1030;-0.4000;9.8495;9.8582;126.1738
-0.0970;-0.3868;9.8519;9.8600;126.4293
-0.1042;-0.3916;9.8519;9.8602;126.7051
-0.0958;-0.3868;9.8375;9.8456;126.9585
-0.1018;-0.3952;9.8495;9.8580;127.2121
-0.1018;-0.3988;9.8447;9.8533;127.4675
-0.1018;-0.4072;9.8543;9.8632;127.7228
-0.1090;-0.3928;9.8615;9.8699;127.9781
-0.1006;-0.4119;9.8459;9.8551;128.2335
-0.0922;-0.3952;9.8519;9.8603;128.4892
-0.0982;-0.3976;9.8459;9.8544;128.7426
-0.1006;-0.4024;9.8471;9.8559;128.9961
-0.0970;-0.4107;9.8459;9.8550;129.2514
-0.0982;-0.3940;9.8579;9.8663;129.5067
-0.1018;-0.4060;9.8519;9.8608;129.7621
-0.1006;-0.4060;9.8363;9.8452;130.0174
-0.1078;-0.3952;9.8507;9.8592;130.2727
-0.1018;-0.4048;9.8495;9.8584;130.5280
-0.1018;-0.3988;9.8411;9.8497;130.7832
-0.1018;-0.4000;9.8495;9.8582;131.0384
