ax(g);ay(g);az(g);accRMS(g);time(s)
0.0034;0.0000;-0.0005;0.0035;0.4340
0.0022;-0.0005;0.0051;0.0056;0.4353
0.0032;-0.0007;0.0022;0.0039;0.4364
0.0017;-0.0056;0.0024;0.0064;0.4376
-0.0024;-0.0020;0.0054;0.0062;0.4387
-0.0073;0.0046;-0.0054;0.0102;0.4398
-0.0042;-0.0010;0.0027;0.0050;0.4410
0.0005;-0.0032;0.0010;0.0034;0.4421
0.0039;-0.0032;0.0037;0.0062;0.4432
-0.0039;-0.0022;0.0061;0.0076;0.4444
-0.0034;-0.0005;0.0029;0.0045;0.4456
0.0007;0.0071;0.0012;0.0072;0.4467
0.0027;0.0034;-0.0085;0.0096;0.4478
-0.0005;0.0061;-0.0020;0.0064;0.4489
0.0046;0.0015;-0.0015;0.0051;0.4501
-0.0046;0.0000;0.0051;0.0069;0.4512
-0.0056;-0.0024;0.0063;0.0088;0.4524
-0.0010;-0.0054;0.0015;0.0057;0.4536
0.0005;0.0054;-0.0078;0.0095;0.4547
0.0005;0.0034;0.0039;0.0052;0.4559
-0.0010;0.0054;0.0068;0.0087;0.4576
-0.0007;0.0049;0.0022;0.0054;0.4591
0.0007;-0.0022;-0.0032;0.0039;0.4605
0.0005;0.0024;0.0000;0.0025;0.4619
-0.0010;-0.0024;0.0000;0.0026;0.4640
-0.0051;0.0024;-0.0020;0.0060;0.4657
-0.0027;0.0046;-0.0042;0.0068;0.4673
-0.0068;-0.0039;0.0007;0.0079;0.4688
-0.0042;-0.0061;-0.0024;0.0078;0.4702
-0.0046;-0.0012;-0.0017;0.0051;0.4717
0.0024;0.0017;-0.0042;0.0051;0.4731
0.0054;-0.0002;-0.0027;0.0060;0.4748
0.0020;0.0017;-0.0012;0.0029;0.4764
-0.0002;0.0059;0.0071;0.0092;0.4781
0.0007;0.0037;-0.0002;0.0037;0.4796
-0.0005;0.0020;0.0083;0.0085;0.4810
-0.0020;0.0012;-0.0024;0.0034;0.4824
-0.0010;-0.0015;-0.0007;0.0019;0.4837
-0.0027;-0.0034;0.0000;0.0043;0.4853
-0.0022;0.0063;0.0015;0.0069;0.4870
-0.0037;0.0051;-0.0042;0.0075;0.4886
-0.0017;-0.0044;0.0066;0.0081;0.4906
-0.0044;0.0054;-0.0068;0.0097;0.4923
0.0027;0.0029;-0.0002;0.0040;0.4937
-0.0059;0.0027;-0.0051;0.0082;0.4953
-0.0027;0.0024;-0.0049;0.0061;0.4967
-0.0034;0.0034;-0.0032;0.0058;0.4982
-0.0068;0.0029;-0.0068;0.0101;0.4997
0.0017;0.0002;0.0020;0.0026;0.5012
-0.0015;-0.0056;0.0095;0.0112;0.5026
